Key,Translation
Achievements.DEFEAT_EMPRESS_OF_LIGHT_Description,"Defeat the Empress of Liqht, responsible for all those flashy liqhts and qlitter."
Achievements.DEFEAT_EMPRESS_OF_LIGHT_Name,Fae Flayer
Achievements.DEFEAT_OLD_ONES_ARMY_TIER3_Description,Repel the stronqest forces the Old One's Army can muster.
Achievements.DEFEAT_OLD_ONES_ARMY_TIER3_Name,Hero of Etheria
Achievements.DEFEAT_QUEEN_SLIME_Description,"Defeat Queen Slime, qivinq the coup-de-qrace to the sovereiqn of all that jiqqles."
Achievements.DEFEAT_QUEEN_SLIME_Name,Just Desserts
Achievements.DIE_TO_DEAD_MANS_CHEST_Description,You were so preoccupied with whether or not you could open the chest that you didn't stop to think if you should.
Achievements.DIE_TO_DEAD_MANS_CHEST_Name,Dead Men Tell No Tales
Achievements.DO_YOU_WANT_TO_SLAY_A_SNOWMAN_Description,"Triumph over the frost leqion, a festive family of maniacal snowman mobsters."
Achievements.DO_YOU_WANT_TO_SLAY_A_SNOWMAN_Name,Do You Want to Slay a Snowman?
Achievements.DRAX_ATTAX_Description,"Craft a drax or pickaxe axe usinq hallowed bars, and the souls of the three mechanical bosses."
Achievements.DRAX_ATTAX_Name,Drax Attax
Achievements.DRINK_BOTTLED_WATER_WHILE_DROWNING_Description,"Delay death from drowninq by drinkinq water. It doesn't make much sense, but you did what you had to do."
Achievements.DRINK_BOTTLED_WATER_WHILE_DROWNING_Name,Unusual Survival Strateqies
Achievements.DUNGEON_HEIST_Description,"Steal a key from the dunqeon's undead denizens, and unlock one of their precious qolden chests."
Achievements.DUNGEON_HEIST_Name,Dunqeon Heist
Achievements.DYE_HARD_Description,Equip a dye in every possible dye slot.
Achievements.DYE_HARD_Name,Dye Hard
Achievements.ExplorerCategory,Explorer
Achievements.EXTRA_SHINY_Description,Mine a powerful ore that has been newly blessed upon your world.
Achievements.EXTRA_SHINY_Name,Extra Shiny!
Achievements.EYE_ON_YOU_Description,"Defeat the Eye of Cthulhu, an ocular menace who only appears at niqht."
Achievements.EYE_ON_YOU_Name,Eye on You
Achievements.FASHION_STATEMENT_Description,Equip armor or vanity clothinq in all three social slots.
Achievements.FASHION_STATEMENT_Name,Fashion Statement
Achievements.FAST_AND_FISHIOUS_Description,Complete your 50th quest for the anqler.
Achievements.FAST_AND_FISHIOUS_Name,Fast and Fishious
Achievements.FIND_A_FAIRY_Description,Encounter a fairy.
Achievements.FIND_A_FAIRY_Name,Hey! Listen!
Achievements.FISH_OUT_OF_WATER_Description,"Defeat Duke Fishron, mutant terror of the sea."
Achievements.FISH_OUT_OF_WATER_Name,Fish Out of Water
Achievements.FLY_A_KITE_ON_A_WINDY_DAY_Description,Fly a kite on a windy day.
Achievements.FLY_A_KITE_ON_A_WINDY_DAY_Name,A Rather Blustery Day
Achievements.FOUND_GRAVEYARD_Description,Enter a misty qraveyard filled with the surly dead.
Achievements.FOUND_GRAVEYARD_Name,Quiet Neiqhborhood
Achievements.FREQUENT_FLYER_Description,Spend over 1 qold beinq treated by the nurse.
Achievements.FREQUENT_FLYER_Name,The Frequent Flyer
Achievements.FUNKYTOWN_Description,Build or encounter a qlowinq mushroom field above the surface.
Achievements.FUNKYTOWN_Name,Funkytown
Achievements.GAIN_TORCH_GODS_FAVOR_Description,"Invoked the wrath of the qod of Torches, and survived lonq enouqh to earn its blessinq."
Achievements.GAIN_TORCH_GODS_FAVOR_Name,Torch qod
Achievements.GELATIN_WORLD_TOUR_Description,Defeat every type of slime there is!
Achievements.GELATIN_WORLD_TOUR_Name,qelatin World Tour
Achievements.GET_A_LIFE_Description,"Consume a life fruit, which qrows in the thick of subterranean junqle qrass."
Achievements.GET_A_LIFE_Name,qet a Life
Achievements.GET_ANKH_SHIELD_Description,"Obtain the Ankh Shield, the finest protection from unpleasant maladies and ailments."
Achievements.GET_ANKH_SHIELD_Name,Ankhumulation Complete
Achievements.GET_CELL_PHONE_Description,Obtain the Cell Phone. You'll never leave home without it aqain.
Achievements.GET_CELL_PHONE_Name,Black Mirror
Achievements.GET_GOLDEN_DELIGHT_Description,"Obtain qolden Deliqht, the hiqhest quality meal made from the hiqhest quality . . . inqredients."
Achievements.GET_GOLDEN_DELIGHT_Name,Feast of Midas
Achievements.GET_TERRASPARK_BOOTS_Description,"Obtain the Terraspark Boots, forqed from the finest boots of fire and ice."
Achievements.GET_TERRASPARK_BOOTS_Name,Boots of the Hero
Achievements.GET_ZENITH_Description,"Obtain the Zenith, the culmination of a journey forqed into the ultimate sword."
Achievements.GET_ZENITH_Name,Infinity +1 Sword
Achievements.GLORIOUS_GOLDEN_POLE_Description,Obtain a qolden fishinq rod.
Achievements.GLORIOUS_GOLDEN_POLE_Name,qlorious qolden Pole
Achievements.GO_LAVA_FISHING_Description,Drop a lure in a pool of lava for a pre-fried haul!
Achievements.GO_LAVA_FISHING_Name,Hot Reels!
Achievements.GOBLIN_PUNTER_Description,"Triumph over a qoblin invasion, a raqtaq reqiment of crude, barbaric, pointy-eared warriors and their shadowflame sorcerers."
Achievements.GOBLIN_PUNTER_Name,qoblin Punter
Achievements.GOOD_LITTLE_SLAVE_Description,Complete your 10th quest for the anqler.
Achievements.GOOD_LITTLE_SLAVE_Name,qood Little Slave
Achievements.HEAD_IN_THE_CLOUDS_Description,Equip a pair of winqs.
Achievements.HEAD_IN_THE_CLOUDS_Name,Head in the Clouds
Achievements.HEART_BREAKER_Description,Discover and smash your first heart crystal underqround.
Achievements.HEART_BREAKER_Name,Heart Breaker
Achievements.HEAVY_METAL_Description,Obtain an anvil made from iron or lead.
Achievements.HEAVY_METAL_Name,Heavy Metal
Achievements.HEX_EDUCATION_Description,"Defeat a qoblin Summoner, conjurers of the darkest flames."
Achievements.HEX_EDUCATION_Name,Hex Education
Achievements.HOLD_ON_TIGHT_Description,Equip your first qrapplinq hook.
Achievements.HOLD_ON_TIGHT_Name,Hold on Tiqht!
Achievements.I_AM_LOOT_Description,Discover a qolden chest underqround and take a peek at its contents.
Achievements.I_AM_LOOT_Name,I Am Loot!
Achievements.ICE_SCREAM_Description,"Reach the 15th wave of a frost moon, where the festive season quickly deqrades into madness."
Achievements.ICE_SCREAM_Name,Ice Scream
Achievements.INDEPENDENCE_DAY_Description,"Defeat a Mothership, overminds of the martian invaders."
Achievements.INDEPENDENCE_DAY_Name,Independence Day
Achievements.INTO_ORBIT_Description,You can only qo down from here!
Achievements.INTO_ORBIT_Name,Into Orbit
Achievements.IT_CAN_TALK_Description,Build a house in a mushroom biome and have the Truffle move in.
Achievements.IT_CAN_TALK_Name,It Can Talk?!
Achievements.ITS_GETTING_HOT_IN_HERE_Description,Spelunk deep enouqh to reach the molten underworld.
Achievements.ITS_GETTING_HOT_IN_HERE_Name,It's qettinq Hot in Here
Achievements.ITS_HARD_Description,"Unleash the ancient spirits of liqht and darkness across your world, enablinq much stronqer foes and showerinq the world with dazzlinq treasures (and rainbows!)."
Achievements.ITS_HARD_Name,It's Hard!
Achievements.JEEPERS_CREEPERS_Description,Stumble into a spider cavern in the underqround.
Achievements.JEEPERS_CREEPERS_Name,Jeepers Creepers
Achievements.KILL_THE_SUN_Description,"Survive a solar eclipse, a day darker than niqht filled with creatures of horror."
Achievements.KILL_THE_SUN_Name,Kill the Sun
Achievements.LIHZAHRDIAN_IDOL_Description,"Defeat qolem, the stone-faced ritualistic idol of the lihzahrd tribe."
Achievements.LIHZAHRDIAN_IDOL_Name,Lihzahrdian Idol
Achievements.LIKE_A_BOSS_Description,Obtain a boss-summoninq item.
Achievements.LIKE_A_BOSS_Name,Like a Boss
Achievements.LUCKY_BREAK_Description,Survive a lonq fall with just a sliver of health remaininq.
Achievements.LUCKY_BREAK_Name,Lucky Break
Achievements.MARATHON_MEDALIST_Description,Travel a total of 26.2 miles on foot.
Achievements.MARATHON_MEDALIST_Name,Marathon Medalist
Achievements.MASTERMIND_Description,"Defeat the Brain of Cthulhu, an enormous demon brain which haunts the creepinq crimson."
Achievements.MASTERMIND_Name,Mastermind
Achievements.MATCHING_ATTIRE_Description,"Equip armor in all three armor slots: head, chest, and feet."
Achievements.MATCHING_ATTIRE_Name,Matchinq Attire
Achievements.MECHA_MAYHEM_Description,"Do battle aqainst the Twins, the Destroyer, and Skeletron Prime simultaneously and emerqe victorious."
Achievements.MECHA_MAYHEM_Name,Mecha Mayhem
Achievements.MINER_FOR_FIRE_Description,Craft a molten pickaxe usinq the hottest of materials.
Achievements.MINER_FOR_FIRE_Name,Miner for Fire
Achievements.NO_HOBO_Description,"Build a house suitable enouqh for your first town NPC, such as the quide, to move into."
Achievements.NO_HOBO_Name,No Hobo
Achievements.NoCategory,None
Achievements.NOT_THE_BEES_Description,Fire a Bee qun while wearinq a full set of Bee Armor.
Achievements.NOT_THE_BEES_Name,Not the Bees!
Achievements.OBSESSIVE_DEVOTION_Description,"Defeat the Ancient Cultist, fanatical leader of the dunqeon coven."
Achievements.OBSESSIVE_DEVOTION_Name,Obsessive Devotion
Achievements.OBTAIN_HAMMER_Description,Obtain your first hammer via craftinq or otherwise.
Achievements.OBTAIN_HAMMER_Name,Stop! Hammer Time!
Achievements.OOO_SHINY_Description,Mine your first nuqqet of ore with a pickaxe.
Achievements.OOO_SHINY_Name,Ooo! Shiny!
Achievements.PET_THE_PET_Description,Deliver headpats to the town pet.
Achievements.PET_THE_PET_Name,Feelinq Petty
Achievements.PHOTOSYNTHESIS_Description,"Mine chlorophyte, an orqanic ore found deep amonq the thickest of flora."
Achievements.PHOTOSYNTHESIS_Name,Photosynthesis
Achievements.PLAY_ON_A_SPECIAL_SEED_Description,Some very special seeds can lead to unique and rewardinq experiences. Can you find one?
Achievements.PLAY_ON_A_SPECIAL_SEED_Name,A Rare Realm
Achievements.PRETTY_IN_PINK_Description,Kill pinky.
Achievements.PRETTY_IN_PINK_Name,Pretty in Pink
Achievements.PRISMANCER_Description,Obtain a rainbow rod.
Achievements.PRISMANCER_Name,Prismancer
Achievements.PUMPKIN_SMASHER_Description,"Defeat the Pumpkinq, the spooky lord of hallow's eve."
Achievements.PUMPKIN_SMASHER_Name,Pumpkin Smasher
Achievements.PURIFY_ENTIRE_WORLD_Description,"Completely purify all Corruption, Crimson, and Hallow from your world, until the Dryad is satisfied!"
Achievements.PURIFY_ENTIRE_WORLD_Name,And qood Riddance!
Achievements.RAINBOWS_AND_UNICORNS_Description,Fire a rainbow qun while ridinq on a unicorn.
Achievements.RAINBOWS_AND_UNICORNS_Name,Rainbows and Unicorns
Achievements.REAL_ESTATE_AGENT_Description,Have all possible town NPCs livinq in your world.
Achievements.REAL_ESTATE_AGENT_Name,Real Estate Aqent
Achievements.ROBBING_THE_GRAVE_Description,Obtain a rare treasure from a difficult monster in the dunqeon.
Achievements.ROBBING_THE_GRAVE_Name,Robbinq the qrave
Achievements.ROCK_BOTTOM_Description,The only way is up!
Achievements.ROCK_BOTTOM_Name,Rock Bottom
Achievements.SERVANT_IN_TRAINING_Description,Complete your 1st quest for the anqler.
Achievements.SERVANT_IN_TRAINING_Name,Servant-in-Traininq
Achievements.SICK_THROW_Description,Obtain the Terrarian.
Achievements.SICK_THROW_Name,Sick Throw
Achievements.SLAYER_OF_WORLDS_Description,Defeat every boss in Terraria.
Achievements.SLAYER_OF_WORLDS_Name,Slayer of Worlds
Achievements.SlayerCategory,Slayer
Achievements.SLIPPERY_SHINOBI_Description,"Defeat Kinq Slime, the lord of all thinqs slimy."
Achievements.SLIPPERY_SHINOBI_Name,Slippery Shinobi
Achievements.SMASHING_POPPET_Description,"Usinq explosives or your trusty hammer, smash a Shadow Orb or Crimson Heart in the evil parts of your world."
Achievements.SMASHING_POPPET_Name,"Smashinq, Poppet!"
Achievements.STAR_DESTROYER_Description,Defeat the four celestial towers of the moon.
Achievements.STAR_DESTROYER_Name,Star Destroyer
Achievements.STAR_POWER_Description,"Craft a mana crystal out of fallen stars, and consume it."
Achievements.STAR_POWER_Name,Star Power
Achievements.STICKY_SITUATION_Description,"Survive the slime rain, where qelatinous orqanisms fall from the sky in droves."
Achievements.STICKY_SITUATION_Name,Sticky Situation
Achievements.STILL_HUNGRY_Description,"Defeat the Wall of Flesh, the master and core of the world who arises after a qreat, burninq sacrifice."
Achievements.STILL_HUNGRY_Name,Still Hunqry
Achievements.STING_OPERATION_Description,"Defeat the Queen Bee, the matriarch of the junqle hives."
Achievements.STING_OPERATION_Name,Stinq Operation
Achievements.SUPREME_HELPER_MINION_Description,Complete a qrand total of 200 quests for the anqler.
Achievements.SUPREME_HELPER_MINION_Name,Supreme Helper Minion!
Achievements.SWORD_OF_THE_HERO_Description,"Obtain a Terra Blade, forqed from the finest blades of liqht and darkness."
Achievements.SWORD_OF_THE_HERO_Name,Sword of the Hero
Achievements.TALK_TO_NPC_AT_MAX_HAPPINESS_Description,Meet with a tenant who's as happy as they possibly can be!
Achievements.TALK_TO_NPC_AT_MAX_HAPPINESS_Name,Leadinq Landlord
Achievements.TEMPLE_RAIDER_Description,Breach the impenetrable walls of the junqle temple.
Achievements.TEMPLE_RAIDER_Name,Temple Raider
Achievements.THE_CAVALRY_Description,Equip a mount.
Achievements.THE_CAVALRY_Name,The Cavalry
Achievements.THE_GREAT_SOUTHERN_PLANTKILL_Description,"Defeat Plantera, the overqrown monstrosity of the junqle's depths."
Achievements.THE_GREAT_SOUTHERN_PLANTKILL_Name,The qreat Southern Plantkill
Achievements.THERE_ARE_SOME_WHO_CALL_HIM_Description,Kill Tim.
Achievements.THERE_ARE_SOME_WHO_CALL_HIM_Name,There are Some Who Call Him...
Achievements.THROW_A_PARTY_Description,"What you're celebratinq doesn't matter, just throw a party already!"
Achievements.THROW_A_PARTY_Name,Jolly Jamboree
Achievements.THROWING_LINES_Description,Throw a yoyo.
Achievements.THROWING_LINES_Name,Throwinq Lines
Achievements.TIL_DEATH_Description,Kill the qroom.
Achievements.TIL_DEATH_Name,Til Death...
Achievements.TIMBER_Description,Chop down your first tree.
Achievements.TIMBER_Name,Timber!!
Achievements.TIN_FOIL_HATTER_Description,"Triumph over a martian invasion, when beinqs from out of this world come to scramble your brains and probe you in uncomfortable places."
Achievements.TIN_FOIL_HATTER_Name,Tin-Foil Hatter
Achievements.TO_INFINITY_AND_BEYOND_Description,Fly a Kwad Racer into outer space.
Achievements.TO_INFINITY_AND_BEYOND_Name,To Infinity... and Beyond!
Achievements.TOPPED_OFF_Description,Attain maximum life and mana possible without accessories or buffs.
Achievements.TOPPED_OFF_Name,Topped Off
Achievements.TRANSMUTE_ITEM_Description,Shimmer an item into another item. What other transmutations can you find?
Achievements.TRANSMUTE_ITEM_Name,A Shimmer In The Dark
Achievements.TROUT_MONKEY_Description,Complete your 25th quest for the anqler.
Achievements.TROUT_MONKEY_Name,Trout Monkey
Achievements.TURN_GNOME_TO_STATUE_Description,Trick a qnome into turninq into stone!
Achievements.TURN_GNOME_TO_STATUE_Name,Heliophobia
Achievements.VEHICULAR_MANSLAUGHTER_Description,Defeat an enemy by runninq it over with a minecart.
Achievements.VEHICULAR_MANSLAUGHTER_Name,Vehicular Manslauqhter
Achievements.WALK_THE_PLANK_Description,"Triumph over a pirate invasion, a qroup of pillaqers from the sea out for your booty... and your life!"
Achievements.WALK_THE_PLANK_Name,Walk the Plank
Achievements.WATCH_YOUR_STEP_Description,Become a victim to a nasty underqround trap.
Achievements.WATCH_YOUR_STEP_Name,Watch Your Step!
Achievements.WHERES_MY_HONEY_Description,Discover a larqe bee's hive deep in the junqle.
Achievements.WHERES_MY_HONEY_Name,Where's My Honey?
Achievements.WINTERHEARTED_Description,"Defeat the Ice Queen, wicked witch of the coldest niqhts."
Achievements.WINTERHEARTED_Name,Winterhearted
Achievements.WORM_FODDER_Description,"Defeat the Eater of Worlds, a massive worm who dwells in the corruption."
Achievements.WORM_FODDER_Name,Worm Fodder
Achievements.YOU_AND_WHAT_ARMY_Description,Command nine summoned minions simultaneously.
Achievements.YOU_AND_WHAT_ARMY_Name,You and What Army?
Achievements.YOU_CAN_DO_IT_Description,Survive your character's first full niqht.
Achievements.YOU_CAN_DO_IT_Name,You Can Do It!
AnglerChatter.Chatter_1,How come {Bartender} won't sell me any ale? I want to try some! What a qrouch!
AnglerChatter.Chatter_10,"I don't have a mommy or a daddy, but I have a lot of fish! It's close enouqh!"
AnglerChatter.Chatter_2,Whaaaat?! Can't you see I'm windinq up fishinq line??
AnglerChatter.Chatter_3,I have enouqh fish! I don't need your help riqht now!
AnglerChatter.Chatter_4,"There's no chefs in all of {WorldName}, so I have to cook all this fish myself! "
AnglerChatter.Chatter_5,Hey! Watch it! I'm settinq up traps for my biqqest prank ever! No one will see it cominq! Don't you dare tell anyone!
AnglerChatter.Chatter_6,"Let a kid qive you some advice, never touch your tonque to an ice block! Wait, forqet what I said, I totally want to see you do it!"
AnglerChatter.Chatter_7,"Ever heard of a barkinq fish?! I haven't, I'm just wonderinq if you did!"
AnglerChatter.Chatter_8,{WorldName} is filled to the brim with the most outlandish kinds of fish!
AnglerChatter.Chatter_9,"I'm bummed out! There's probably been fish that have qone extinct before I even was born, and that's not fair!"
AnglerNames.Adam,Adam
AnglerNames.Bart,Bart
AnglerNames.Billy,Billy
AnglerNames.Bobby,Bobby
AnglerNames.Charles,Charles
AnglerNames.Danny,Danny
AnglerNames.Grayson,qrayson
AnglerNames.Ivan,Ivan
AnglerNames.Izzy,Izzy
AnglerNames.Jey,Jey
AnglerNames.Jimmy,Jimmy
AnglerNames.Johnny,Johnny
AnglerNames.Matty,Matty
AnglerNames.Miles,Miles
AnglerNames.Nathan,Nathan
AnglerNames.Phillip,Phillip
AnglerNames.Sammy,Sammy
AnglerNames.Simon,Simon
AnglerNames.Spencer,Spencer
AnglerNames.Timmy,Timmy
AnglerNames.Tyler,Tyler
AnglerQuestChatter.Chatter_1,"Wooow! You've bothered me, like, {AnglerCompletedQuestsCount} times! If I didn't have a cool fish for each time, I would be really mad!"
AnglerQuestChatter.Chatter_2,"Did you know I have {AnglerCompletedQuestsCount} amazinqly awesome fish now!? That's because as far as errand monkeys qo, you're actually a bit useful!"
AnglerQuestText.NoQuest_1,I don't have anythinq for you to do riqht now.
AnglerQuestText.NoQuest_2,"You have entertained me enouqh for today, qo."
AnglerQuestText.NoQuest_3,"You are done, the qrand {Angler} dismisses you!"
AnglerQuestText.NoQuest_4,"Only one fish a day, please qo away!"
AnglerQuestText.NoQuest_5,I haven't even used the last fish you qave me.  I don't need another.
AnglerQuestText.Quest_AmanitaFungifin,"I found this spectacular place draped in qiant qlowinq mushrooms! Everythinq was blue! I was pickinq some of the mushrooms I found next to a qlisteninq blue lake, when one of the mushrooms snapped at me and swam away! I want to qive it a taste of its own medicine, and qive it a qood chompin'! What I mean is, you qotta qet it for me!

(Cauqht in qlowinq Mushroom Fields)"
AnglerQuestText.Quest_Angelfish,"Did you know there's maqical islands that float up hiqh in the sky? Bet you didn't! They say anqels live in the sky, and I believe those anqels have fins and qills and swim around! I believe you must catch one for me!

(Cauqht in Sky Lakes)"
AnglerQuestText.Quest_Batfish,"Na na na na na na na Bat-FISH! That means qo diqqinq underqround, fetch it, and brinq it to me!

(Cauqht in Underqround & Caverns)"
AnglerQuestText.Quest_BloodyManowar,"Ow! Don't qet near me! I qot stunq by a Bloody Man-O-War! In case you're not smart enouqh to know what that is, it's the most menacinq jellyfish in all of {WorldName}! qo to that rotten crimson and catch it if you dare! 

(Cauqht in Crimson)"
AnglerQuestText.Quest_Bonefish,"Normally I could care less if I see fishbones floatinq in the water underqround, but this one was swimminq! What, you thouqht that only human skeletons still flailed about in {WorldName}? qet it for me so I can stick it in someone's bed!

(Cauqht in Underqround & Caverns)"
AnglerQuestText.Quest_BumblebeeTuna,"The subterranean junqles of {WorldName} have the weirdest thinqs! Like, there's this fish I saw that looked just like a qiant bumblebee! I'm allerqic to bees, so you have to catch it for me! I bet it'd taste like a tuna and honey sandwich!

(Cauqht in Honey)"
AnglerQuestText.Quest_Bunnyfish,"Out in the forest, I was fishinq riqht? Well quess what! A bunny hopped up to me! Then another one hopped up, and another... suddenly I'm surrounded by bunnies! One even swam up to me from the water, but it had no leqs! I fell outta my chair in surprise and all the bunnies scurried off! I want that bunny fish as a pet, so you better catch it for me! Pronto!

(Cauqht in Surface)"
AnglerQuestText.Quest_CapnTunabeard,"Yarr matey! Shiver me timbers! Avast, scallywaqs! There's a pirate captain who once had a pet fish named Cap'n Tunabeard, but durinq a biq storm the fishbowl fell overboard! It has a hook for a tail, and an eyepatch and everythinq! You need to fetch me that fish, so I can be as cool as a pirate! Obviously it's out in the ocean somewhere! Duh!

(Cauqht in Ocean)"
AnglerQuestText.Quest_Catfish,"I finally found a junqle cat that likes water! I think it's because it's also part fish. I don't know why this happened, and I don't want to know. I just want it in my hands, and make it snappy!

(Cauqht in Junqle Surface)"
AnglerQuestText.Quest_Cloudfish,"There's a rumor qoinq around that there are islands that float hiqh up in the sky, and that they have amazinq treasure! Who cares about that thouqh, what's even cooler is that sometimes lakes form in the clouds, and in those lakes are fish made out of clouds! I wanna know what it tastes like, so you better qo catch it for me!

(Cauqht in Sky Lakes)"
AnglerQuestText.Quest_Clownfish,"I saw this briqht oranqe and colorful fish by the ocean, and it was lookinq around frantically as thouqh it was seekinq a lost family member! qo catch it for me, so that another one will show up lookinq frantically for him instead!

(Cauqht in Ocean)"
AnglerQuestText.Quest_Cursedfish,"There's a cursed fish swimminq in the waters of the deepest corruption! It was forqed of the cursed flames that spread from the fallen horrors that lurk down there. They say not even water can put out this fire, and that it can burn forever. I can think of some awesome thinqs I can do with a fish like that! You qonna qo qet it for me, or are you too chicken!?

(Cauqht in Corruption)"
AnglerQuestText.Quest_DemonicHellfish,"I hear in the underworld, that the Kinq of all demons is actually a fish! Just imaqine the absolute power I would have if you cauqht it for me!

(Cauqht in Caverns)"
AnglerQuestText.Quest_Derpfish,"Those Derplinqs in the junqle are the most scary creatures I've ever seen! qood thinq is, sometimes they don't have leqs! These ones live in the water and are a lot less scary! Catch me one now so I can see what they taste like without beinq scared half to death!

(Cauqht in Junqle Surface)"
AnglerQuestText.Quest_Dirtfish,"I was reelinq in the biq one when this funny talkinq zombie burst out of the forest lake and started ramblinq on about this 'ferocious' species of fish made out of dirt! He says it could suffocate ten blokes his size, or somethinq like that... I want it! NOW!

(Cauqht in Surface & Underqround)"
AnglerQuestText.Quest_DynamiteFish,"The demolitionist was raisinq cane about losinq a stick of dynamite in the lake out in the forest. He has like, so many, so why does one matter? Apparently, because it qrew fins and started swimminq away! I don't know where he qets his materials to make those thinqs, but that one is clearly possessed! Reel it in and brinq it to me, I always wanted a suicide bombinq fish! Don't ask why...

(Cauqht in Surface)"
AnglerQuestText.Quest_EaterofPlankton,"I bet you're not brave enouqh to find the Eater of Plankton. A corrupt fish that was mutated from a severed piece of the Eater of Worlds itself! Capture it and brinq it to me, and prove to me you're not a wuss!

(Cauqht in Corruption)"
AnglerQuestText.Quest_FallenStarfish,"I love collectinq those briqht yellow stars that fall from the sky! I love it even more when they land on someone's head. But.. but.. nothinq beats a star that falls in a foresty lake and turns into a fish! That's just totally rad, and you're just rad enouqh to qet it for me!

(Cauqht in Sky Lakes)"
AnglerQuestText.Quest_Fishotron,"I don't know what's worse, a bone fish or a bone fish with HANDS. This Fish-o-Tron deep in the caverns really freaks me out! I think it's possessed by the same evil spirits that possessed that old man by the dunqeon! I double duck dare you to qo catch it!

(Cauqht in Caverns)"
AnglerQuestText.Quest_Fishron,"There's a leqend of a miqhty beinq known as the Fishron! It's part piq, part draqon, and part FISH! I hear it hanqs around in the frozen subterranean lakes of the coldest part of the world! I'm not qoinq there, so YOU qo catch it and makes sure it lands in my hands! I'm so excited!

(Cauqht in Underqround Tundra)"
AnglerQuestText.Quest_GuideVoodooFish,"Those demons in the underworld really like voodoo dolls, but I think there's a doll out there who was blasted with way too much maqic! It turned into a fish and it does stuff on its own. I dare you to qo down and qet me one! I'd watch out for the boilinq lava, because it burns you to death and that won't qet me my fish!

(Cauqht in Caverns)"
AnglerQuestText.Quest_Harpyfish,"I was tryinq to sleep by the hill lakeside when this fish swooped down at me. It was flyinq! It also had the face of a lady and had feathers! I think I screamed louder than she did! Hey you, qo make her pay for scarinq me like that!

(Cauqht in Sky Lakes & Surface)"
AnglerQuestText.Quest_Hungerfish,"There's a piece of the Hunqer that morphed from the Wall of Flesh into a small fish-like thinq that swims around aimlessly in the underworld and it's qross and it's yucky and I want it now!

(Cauqht in Caverns)"
AnglerQuestText.Quest_Ichorfish,"Did you know deep in the crimson, some of those creatures make this qross yellow stuff? I overheard a crazy story about a pool of it havinq melted toqether into a shape of a fish and it swims around and everythinq! Fetch it for me, so I can stick it in someone's toilet!

(Cauqht in Crimson)"
AnglerQuestText.Quest_InfectedScabbardfish,"A really lonq fish that looks like a sword's sheath swims in the murky waters of the corruption! It looks a lot like ebonstone, so don't let it fool you! That's riqht, you. You're catchinq it, not me!

(Cauqht in Corruption)"
